region,method,seed,fixed_reliability,M,out_dir,cmd,algo,time_slots,arrival_rate,mean_service_time,trace_seed,algo_seed,trace_hash,arrivals_per_slot,diversity,p_split,split_reliability_mode,mechanism,fixed_sfc_len,max_backup_level,explicit_split_replicas,split_enforce_distinct,strict_split_resource_ablation,split_replica_resource_scale,cap_base_min,cap_base_max,cap_scale,total_arrivals,total_accepted,total_rejected,acceptance_ratio,avg_cost_per_arrival,total_cost,total_cost_resource,avg_cost_per_accepted,final_utilization,avg_utilization_over_time,avg_leftover_capacity_sum_over_time,final_leftover_capacity_sum,final_leftover_capacity_min,final_leftover_capacity_max,final_leftover_capacity_avg,avg_e2e_delay_accepted,p95_e2e_delay_accepted,avg_access_delay_accepted,avg_processing_delay_accepted,avg_network_delay_accepted,avg_split_proc_overhead_accepted,avg_split_net_overhead_accepted,total_transmitted_bits_accepted,avg_transmitted_bits_per_accepted,total_split_transmitted_bits_accepted,avg_split_transmitted_bits_per_accepted,avg_split_overhead_ratio_accepted,p95_split_overhead_ratio_accepted,rga_accepted_total,rga_rejected_total,rga_rejection_ratio,mdca_rejected_total,mdca_capacity_rejected_total,mdca_reliability_rejected_total,mdca_qos_rejected_total,mdca_rejection_ratio,capacity_rejection_ratio,reliability_rejection_ratio,qos_rejected_total,qos_rejection_ratio,arrivals_per_slot_key
Alabama,MDCA,1,0.996,1,D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\MDCA\seed1,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --region Alabama --seed 1 --fixed_reliability 0.996 --max_backup_level 1 --out_dir D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\MDCA\seed1,mdca,120,12.0,9.0,4151998564921826748,11964113512330225472,a90c56c2c6acaf323fac300fa7049fc84678efcd8734fbf9caa1a532505729c6,"[8, 16, 7, 12, 7, 13, 12, 5, 10, 14, 6, 12, 12, 10, 11, 13, 10, 17, 15, 16, 10, 12, 6, 9, 14, 11, 15, 9, 19, 12, 12, 12, 9, 5, 15, 9, 19, 9, 12, 12, 15, 14, 9, 11, 8, 16, 11, 9, 12, 9, 5, 12, 13, 14, 13, 23, 8, 9, 15, 15, 9, 12, 16, 12, 8, 9, 15, 8, 17, 15, 12, 16, 12, 17, 10, 12, 15, 10, 10, 8, 14, 15, 12, 15, 15, 9, 10, 11, 11, 14, 10, 15, 12, 9, 19, 18, 16, 9, 13, 15, 7, 13, 8, 12, 20, 12, 14, 12, 7, 14, 8, 9, 10, 10, 16, 11, 13, 8, 15, 14]",False,,,,,1,False,False,False,1.0,500,700,0.2,1436,223,1213,0.1552924791,2.5795298326,3704.204839647,2122.204839647,16.6107840343,0.0798402055,0.0593473347,164920.1166666667,161327.2,16.8,2108.8,1177.5708029197,0.0403682852,0.0939840631,0.0081481629,0.0300883772,0.0021317451,0.0,0.0,79511334.64974663,356553.070178236,0.0,0.0,0.0,0.0,223,1213,0.8447075209,0,0,0,0,0.0,0.0,0.0,0,0.0,75eaf020d8128452b7daf36d720eab8e575a310542f6c94fc0e5da8a1d79fefe
Alabama,MDCA,2,0.996,1,D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\MDCA\seed2,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --region Alabama --seed 2 --fixed_reliability 0.996 --max_backup_level 1 --out_dir D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\MDCA\seed2,mdca,120,12.0,9.0,2442432397383401356,13644192713311443876,7e52d31fdb5bd15ae4c86921d484cd899b8682060d2a83514ca66c5a44c638bc,"[14, 10, 13, 11, 12, 14, 9, 7, 8, 9, 15, 20, 17, 7, 15, 13, 16, 10, 6, 13, 14, 16, 15, 3, 15, 9, 9, 11, 16, 14, 12, 13, 16, 17, 12, 6, 17, 15, 11, 15, 15, 10, 10, 12, 12, 9, 13, 13, 11, 13, 13, 15, 10, 11, 11, 13, 12, 17, 12, 13, 15, 12, 6, 14, 8, 11, 16, 18, 11, 13, 13, 15, 8, 11, 10, 14, 13, 10, 15, 12, 19, 8, 7, 7, 11, 17, 8, 13, 8, 7, 8, 13, 14, 20, 8, 10, 9, 16, 13, 15, 8, 6, 10, 7, 14, 14, 11, 9, 14, 13, 12, 12, 18, 6, 17, 11, 11, 9, 9, 14]",False,,,,,1,False,False,False,1.0,500,700,0.2,1441,231,1210,0.1603053435,2.8336821747,4083.3360136913,2425.3360136913,17.67677928,0.0606794285,0.0742188452,159526.35,161859.4,8.0,2272.0,1181.4554744526,0.038633423,0.0897807106,0.0081469066,0.0274552148,0.0030313016,0.0,0.0,95630969.08609599,413986.8791605887,0.0,0.0,0.0,0.0,231,1210,0.8396946565,0,0,0,0,0.0,0.0,0.0,0,0.0,8fc4f01d27d24209561869cebbe17c1886c401cb75a961f27acf2ca622755f65
Alabama,MDCA,3,0.996,1,D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\MDCA\seed3,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --region Alabama --seed 3 --fixed_reliability 0.996 --max_backup_level 1 --out_dir D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\MDCA\seed3,mdca,120,12.0,9.0,16822749361596586808,7009006468066103820,32c151d9d483db53d83a78bb52cbf0e0f11fcc4ec06f818bcca35f5a09c67cca,"[9, 20, 9, 8, 12, 14, 11, 9, 14, 11, 12, 13, 7, 13, 19, 18, 13, 15, 10, 13, 8, 12, 12, 6, 12, 7, 12, 8, 12, 6, 14, 11, 10, 19, 12, 13, 10, 17, 17, 13, 18, 10, 10, 12, 14, 11, 13, 12, 9, 13, 9, 7, 12, 14, 10, 12, 16, 15, 12, 15, 16, 7, 15, 14, 11, 16, 11, 12, 10, 9, 8, 14, 8, 9, 12, 14, 11, 10, 12, 16, 11, 7, 14, 10, 19, 12, 14, 12, 11, 10, 14, 15, 11, 12, 13, 14, 11, 9, 8, 12, 20, 19, 19, 9, 11, 6, 10, 10, 15, 9, 14, 16, 9, 16, 11, 12, 13, 9, 6, 12]",False,,,,,1,False,False,False,1.0,500,700,0.2,1445,191,1254,0.1321799308,2.1346422701,3084.5580803426,1712.5580803426,16.1495187452,0.0956109504,0.0660716245,161738.65,156623.0,0.6,2256.0,1143.2335766423,0.0394869261,0.0817746859,0.0079488204,0.02908211,0.0024559957,0.0,0.0,68186611.99682404,356997.9685697594,0.0,0.0,0.0,0.0,191,1254,0.8678200692,0,0,0,0,0.0,0.0,0.0,0,0.0,789f486a7ae0f47c5db2466c259e664d22972bde9fc396b5908a0e3ee38f63e4
Alabama,MDCA,4,0.996,1,D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\MDCA\seed4,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --region Alabama --seed 4 --fixed_reliability 0.996 --max_backup_level 1 --out_dir D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\MDCA\seed4,mdca,120,12.0,9.0,17437551054791642339,7460246866664277872,69a1ffeff9b29eb0bb16c5f756747736ccf481e4a1723e5bf97a5da884674c7c,"[13, 14, 9, 15, 14, 9, 7, 10, 12, 11, 8, 12, 12, 12, 9, 16, 16, 12, 13, 8, 9, 10, 13, 7, 13, 14, 11, 7, 7, 19, 9, 12, 11, 9, 11, 14, 13, 15, 16, 11, 15, 15, 12, 5, 8, 14, 12, 8, 10, 12, 16, 13, 13, 12, 10, 14, 14, 10, 12, 11, 11, 9, 11, 13, 13, 6, 14, 12, 15, 10, 11, 12, 5, 8, 14, 10, 14, 15, 16, 16, 19, 13, 16, 10, 10, 9, 12, 11, 14, 16, 14, 14, 13, 10, 11, 16, 12, 18, 20, 15, 14, 12, 17, 9, 14, 13, 10, 18, 9, 18, 18, 12, 8, 17, 14, 12, 14, 12, 12, 15]",False,,,,,1,False,False,False,1.0,500,700,0.2,1475,211,1264,0.1430508475,2.4514263804,3615.8539111092,2075.8539111092,17.1367483939,0.0722053207,0.0637119015,162865.8166666666,161388.4,21.8,2120.0,1178.0175182482,0.0402360633,0.0837790094,0.0079556574,0.029438038,0.0028423678,0.0,0.0,93430463.2974418,442798.4042532786,0.0,0.0,0.0,0.0,211,1264,0.8569491525,0,0,0,0,0.0,0.0,0.0,0,0.0,f3cb7ccf9e11dc41f2da355e059fa5bd397c7a63e056c8731d039ed8794cc918
Alabama,MDCA,5,0.996,1,D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\MDCA\seed5,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --region Alabama --seed 5 --fixed_reliability 0.996 --max_backup_level 1 --out_dir D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\MDCA\seed5,mdca,120,12.0,9.0,5608125887345209314,15107899262131976254,25f8a5d2d4c20d874e49b75b37a195c3860a66093ec7d7471633ff76f7b46ab6,"[17, 9, 20, 8, 17, 11, 10, 8, 10, 8, 3, 14, 14, 7, 14, 12, 14, 9, 8, 19, 11, 22, 11, 8, 14, 16, 11, 14, 14, 15, 15, 13, 8, 10, 13, 14, 11, 15, 11, 13, 8, 14, 7, 9, 20, 14, 12, 11, 22, 13, 11, 11, 11, 8, 15, 12, 10, 14, 13, 19, 16, 15, 13, 9, 16, 13, 12, 8, 15, 9, 13, 11, 13, 11, 13, 13, 10, 8, 19, 12, 8, 12, 10, 13, 15, 15, 17, 10, 9, 6, 13, 15, 7, 13, 21, 8, 9, 7, 13, 13, 11, 11, 14, 13, 9, 9, 17, 8, 12, 6, 9, 9, 18, 10, 7, 9, 9, 14, 9, 10]",False,,,,,1,False,False,False,1.0,500,700,0.2,1442,226,1216,0.1567267684,2.3064756683,3325.937913699,1779.937913699,14.7165394411,0.0799150967,0.0582339554,162745.0833333333,158998.4,7.2,2788.0,1160.5722627737,0.0393736273,0.0859943377,0.0078897775,0.0293580856,0.0021257642,0.0,0.0,84685375.91488633,374714.052720736,0.0,0.0,0.0,0.0,227,1215,0.8425797503,1,0,0,1,0.0006934813,0.0,0.0,1,0.0006934813,d869f6ee519f7499eaf8a82f9bae234339b2e22a8549bda26a000c039e375d47
Alabama,DMDCA,1,0.996,1,D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\DMDCA\seed1,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --region Alabama --seed 1 --fixed_reliability 0.996 --max_backup_level 1 --out_dir D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\DMDCA\seed1 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,mdca,120,12.0,9.0,4151998564921826748,7488865630367255201,a90c56c2c6acaf323fac300fa7049fc84678efcd8734fbf9caa1a532505729c6,"[8, 16, 7, 12, 7, 13, 12, 5, 10, 14, 6, 12, 12, 10, 11, 13, 10, 17, 15, 16, 10, 12, 6, 9, 14, 11, 15, 9, 19, 12, 12, 12, 9, 5, 15, 9, 19, 9, 12, 12, 15, 14, 9, 11, 8, 16, 11, 9, 12, 9, 5, 12, 13, 14, 13, 23, 8, 9, 15, 15, 9, 12, 16, 12, 8, 9, 15, 8, 17, 15, 12, 16, 12, 17, 10, 12, 15, 10, 10, 8, 14, 15, 12, 15, 15, 9, 10, 11, 11, 14, 10, 15, 12, 9, 19, 18, 16, 9, 13, 15, 7, 13, 8, 12, 20, 12, 14, 12, 7, 14, 8, 9, 10, 10, 16, 11, 13, 8, 15, 14]",True,0.3,identical_active_pool,,,1,True,False,False,1.0,500,700,0.2,1436,455,981,0.3168523677,8.0685906615,11586.4961899383,6757.4961899383,25.4648267911,0.18407698,0.170961717,145351.3027777778,143051.8666666667,0.6666666667,2028.0,1044.1742092457,0.0551250905,0.1110740681,0.0080327309,0.0309958635,0.0115915306,7.730004061e-19,0.0,619382205.9421382,1361279.5734992048,233742190.9133262,513719.1009084092,1.202441941e-17,7.097252026e-17,459,977,0.680362117,4,0,0,4,0.0027855153,0.0,0.0,4,0.0027855153,75eaf020d8128452b7daf36d720eab8e575a310542f6c94fc0e5da8a1d79fefe
Alabama,DMDCA,2,0.996,1,D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\DMDCA\seed2,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --region Alabama --seed 2 --fixed_reliability 0.996 --max_backup_level 1 --out_dir D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\DMDCA\seed2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,mdca,120,12.0,9.0,2442432397383401356,15644348807814365154,7e52d31fdb5bd15ae4c86921d484cd899b8682060d2a83514ca66c5a44c638bc,"[14, 10, 13, 11, 12, 14, 9, 7, 8, 9, 15, 20, 17, 7, 15, 13, 16, 10, 6, 13, 14, 16, 15, 3, 15, 9, 9, 11, 16, 14, 12, 13, 16, 17, 12, 6, 17, 15, 11, 15, 15, 10, 10, 12, 12, 9, 13, 13, 11, 13, 13, 15, 10, 11, 11, 13, 12, 17, 12, 13, 15, 12, 6, 14, 8, 11, 16, 18, 11, 13, 13, 15, 8, 11, 10, 14, 13, 10, 15, 12, 19, 8, 7, 7, 11, 17, 8, 13, 8, 7, 8, 13, 14, 20, 8, 10, 9, 16, 13, 15, 8, 6, 10, 7, 14, 14, 11, 9, 14, 13, 12, 12, 18, 6, 17, 11, 11, 9, 9, 14]",True,0.3,identical_active_pool,,,1,True,False,False,1.0,500,700,0.2,1441,459,982,0.3185287994,8.0797849105,11642.9700560704,6943.9700560704,25.3659478346,0.2168581566,0.1957993888,138576.15,134947.4,4.6666666667,2272.0,985.0175182482,0.054256667,0.1105582979,0.0080780439,0.0304525384,0.0114959129,5.565098733e-19,0.0,602345027.6187694,1312298.5351171447,231820582.94380775,505055.7362610191,9.347216469e-18,5.201217493e-17,460,981,0.680777238,1,0,0,1,0.0006939625,0.0,0.0,1,0.0006939625,8fc4f01d27d24209561869cebbe17c1886c401cb75a961f27acf2ca622755f65
Alabama,DMDCA,3,0.996,1,D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\DMDCA\seed3,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --region Alabama --seed 3 --fixed_reliability 0.996 --max_backup_level 1 --out_dir D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\DMDCA\seed3 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,mdca,120,12.0,9.0,16822749361596586808,574909283089290248,32c151d9d483db53d83a78bb52cbf0e0f11fcc4ec06f818bcca35f5a09c67cca,"[9, 20, 9, 8, 12, 14, 11, 9, 14, 11, 12, 13, 7, 13, 19, 18, 13, 15, 10, 13, 8, 12, 12, 6, 12, 7, 12, 8, 12, 6, 14, 11, 10, 19, 12, 13, 10, 17, 17, 13, 18, 10, 10, 12, 14, 11, 13, 12, 9, 13, 9, 7, 12, 14, 10, 12, 16, 15, 12, 15, 16, 7, 15, 14, 11, 16, 11, 12, 10, 9, 8, 14, 8, 9, 12, 14, 11, 10, 12, 16, 11, 7, 14, 10, 19, 12, 14, 12, 11, 10, 14, 15, 11, 12, 13, 14, 11, 9, 8, 12, 20, 19, 19, 9, 11, 6, 10, 10, 15, 9, 14, 16, 9, 16, 11, 12, 13, 9, 6, 12]",True,0.3,identical_active_pool,,,1,True,False,False,1.0,500,700,0.2,1445,401,1044,0.2775086505,6.1211010564,8844.991026457,4827.991026457,22.0573342306,0.215023588,0.1422530313,148545.4777777778,135943.0,0.2666666667,2256.0,992.2846715328,0.0550621088,0.1113294006,0.0079501887,0.0315191473,0.0113792322,6.791810118e-19,0.0,523696948.7564641,1305977.4283203594,199727351.79582378,498073.1964983137,1.067027285e-17,6.530923408e-17,402,1043,0.721799308,1,0,0,1,0.0006920415,0.0,0.0,1,0.0006920415,789f486a7ae0f47c5db2466c259e664d22972bde9fc396b5908a0e3ee38f63e4
Alabama,DMDCA,4,0.996,1,D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\DMDCA\seed4,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --region Alabama --seed 4 --fixed_reliability 0.996 --max_backup_level 1 --out_dir D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\DMDCA\seed4 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,mdca,120,12.0,9.0,17437551054791642339,11567520286712093836,69a1ffeff9b29eb0bb16c5f756747736ccf481e4a1723e5bf97a5da884674c7c,"[13, 14, 9, 15, 14, 9, 7, 10, 12, 11, 8, 12, 12, 12, 9, 16, 16, 12, 13, 8, 9, 10, 13, 7, 13, 14, 11, 7, 7, 19, 9, 12, 11, 9, 11, 14, 13, 15, 16, 11, 15, 15, 12, 5, 8, 14, 12, 8, 10, 12, 16, 13, 13, 12, 10, 14, 14, 10, 12, 11, 11, 9, 11, 13, 13, 6, 14, 12, 15, 10, 11, 12, 5, 8, 14, 10, 14, 15, 16, 16, 19, 13, 16, 10, 10, 9, 12, 11, 14, 16, 14, 14, 13, 10, 11, 16, 12, 18, 20, 15, 14, 12, 17, 9, 14, 13, 10, 18, 9, 18, 18, 12, 8, 17, 14, 12, 14, 12, 12, 15]",True,0.3,identical_active_pool,,,1,True,False,False,1.0,500,700,0.2,1475,445,1030,0.3016949153,7.6029134935,11214.2974029523,6440.2974029523,25.2006683212,0.1922198384,0.1608729786,145964.8027777778,140512.0666666667,0.8666666667,2120.0,1025.6355231144,0.0577169968,0.1214478827,0.0081172107,0.0327903643,0.0120808832,8.90751268e-19,0.0,645060024.1860518,1449573.0880585434,238738125.13124928,536490.168834268,1.342682301e-17,6.67680045e-17,448,1027,0.6962711864,3,0,0,3,0.0020338983,0.0,0.0,3,0.0020338983,f3cb7ccf9e11dc41f2da355e059fa5bd397c7a63e056c8731d039ed8794cc918
Alabama,DMDCA,5,0.996,1,D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\DMDCA\seed5,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --region Alabama --seed 5 --fixed_reliability 0.996 --max_backup_level 1 --out_dir D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M1\DMDCA\seed5 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,mdca,120,12.0,9.0,5608125887345209314,17347754373514051730,25f8a5d2d4c20d874e49b75b37a195c3860a66093ec7d7471633ff76f7b46ab6,"[17, 9, 20, 8, 17, 11, 10, 8, 10, 8, 3, 14, 14, 7, 14, 12, 14, 9, 8, 19, 11, 22, 11, 8, 14, 16, 11, 14, 14, 15, 15, 13, 8, 10, 13, 14, 11, 15, 11, 13, 8, 14, 7, 9, 20, 14, 12, 11, 22, 13, 11, 11, 11, 8, 15, 12, 10, 14, 13, 19, 16, 15, 13, 9, 16, 13, 12, 8, 15, 9, 13, 11, 13, 11, 13, 13, 10, 8, 19, 12, 8, 12, 10, 13, 15, 15, 17, 10, 9, 6, 13, 15, 7, 13, 21, 8, 9, 7, 13, 13, 11, 11, 14, 13, 9, 9, 17, 8, 12, 6, 9, 9, 18, 10, 7, 9, 9, 14, 9, 10]",True,0.3,identical_active_pool,,,1,True,False,False,1.0,500,700,0.2,1442,453,989,0.314147018,7.1780554913,10350.7560184496,5731.7560184496,22.8493510341,0.1928455638,0.1577325588,145550.8888888889,139483.0666666667,5.0,2788.0,1018.1245742092,0.0533374714,0.1109032747,0.0079565276,0.0314023149,0.009835858,7.792852701e-19,0.0,588819261.7777534,1299821.7699288153,216060407.47658786,476954.5418909224,1.222285891e-17,6.490164494e-17,456,986,0.6837725381,3,0,0,3,0.0020804438,0.0,0.0,3,0.0020804438,d869f6ee519f7499eaf8a82f9bae234339b2e22a8549bda26a000c039e375d47
Alabama,MDCA,1,0.996,2,D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M2\MDCA\seed1,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --region Alabama --seed 1 --fixed_reliability 0.996 --max_backup_level 2 --out_dir D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M2\MDCA\seed1,mdca,120,12.0,9.0,4151998564921826748,14880128096359974019,a90c56c2c6acaf323fac300fa7049fc84678efcd8734fbf9caa1a532505729c6,"[8, 16, 7, 12, 7, 13, 12, 5, 10, 14, 6, 12, 12, 10, 11, 13, 10, 17, 15, 16, 10, 12, 6, 9, 14, 11, 15, 9, 19, 12, 12, 12, 9, 5, 15, 9, 19, 9, 12, 12, 15, 14, 9, 11, 8, 16, 11, 9, 12, 9, 5, 12, 13, 14, 13, 23, 8, 9, 15, 15, 9, 12, 16, 12, 8, 9, 15, 8, 17, 15, 12, 16, 12, 17, 10, 12, 15, 10, 10, 8, 14, 15, 12, 15, 15, 9, 10, 11, 11, 14, 10, 15, 12, 9, 19, 18, 16, 9, 13, 15, 7, 13, 8, 12, 20, 12, 14, 12, 7, 14, 8, 9, 10, 10, 16, 11, 13, 8, 15, 14]",False,,,,,2,False,False,False,1.0,500,700,0.2,1436,1374,62,0.9568245125,59.3551784735,85234.0362879681,64325.0362879682,62.0335053042,0.7747830888,0.83584614,28780.3083333333,39486.2,0.0,1865.6,288.2204379562,0.0630365659,0.1226818883,0.0080528865,0.0474423024,0.007541377,0.0,0.0,1765540531.2722547,1284963.9965591372,0.0,0.0,0.0,0.0,1436,0,0.0,62,53,0,9,0.0431754875,0.036908078,0.0,9,0.0062674095,75eaf020d8128452b7daf36d720eab8e575a310542f6c94fc0e5da8a1d79fefe
Alabama,MDCA,2,0.996,2,D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M2\MDCA\seed2,D:\coding\Anaconda3_2024.10\envs\SFC\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\Edge_devices.csv --time_slots 120 --arrival_rate 12 --mean_service_time 9 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --region Alabama --seed 2 --fixed_reliability 0.996 --max_backup_level 2 --out_dir D:\Study\Code_1\paper_data\m_sensitivity\Alabama\R0p996\M2\MDCA\seed2,mdca,120,12.0,9.0,2442432397383401356,16121394405342853155,7e52d31fdb5bd15ae4c86921d484cd899b8682060d2a83514ca66c5a44c638bc,"[14, 10, 13, 11, 12, 14, 9, 7, 8, 9, 15, 20, 17, 7, 15, 13, 16, 10, 6, 13, 14, 16, 15, 3, 15, 9, 9, 11, 16, 14, 12, 13, 16, 17, 12, 6, 17, 15, 11, 15, 15, 10, 10, 12, 12, 9, 13, 13, 11, 13, 13, 15, 10, 11, 11, 13, 12, 17, 12, 13, 15, 12, 6, 14, 8, 11, 16, 18, 11, 13, 13, 15, 8, 11, 10, 14, 13, 10, 15, 12, 19, 8, 7, 7, 11, 17, 8, 13, 8, 7, 8, 13, 14, 20, 8, 10, 9, 16, 13, 15, 8, 6, 10, 7, 14, 14, 11, 9, 14, 13, 12, 12, 18, 6, 17, 11, 11, 9, 9, 14]",False,,,,,2,False,False,False,1.0,500,700,0.2,1441,1347,94,0.9347675226,57.3141181449,82589.6442468723,62459.6442468723,61.3137670727,0.9330680833,0.8727201689,21932.275,11533.4,0.0,1601.6,84.1854014599,0.062409096,0.1230579148,0.0080299585,0.046930321,0.0074488166,0.0,0.0,1692462655.0345256,1256468.1923047702,0.0,0.0,0.0,0.0,1441,0,0.0,94,83,0,11,0.0652324774,0.0575988897,0.0,11,0.0076335878,8fc4f01d27d24209561869cebbe17c1886c401cb75a961f27acf2ca622755f65
