algo,region,time_slots,arrival_rate,mean_service_time,seed,trace_seed,algo_seed,trace_hash,arrivals_per_slot,diversity,p_split,split_reliability_mode,split_workload_shares,mechanism,fixed_sfc_len,fixed_reliability,max_backup_level,explicit_split_replicas,split_enforce_distinct,strict_split_resource_ablation,split_replica_resource_scale,cap_base_min,cap_base_max,cap_scale,total_arrivals,total_accepted,total_rejected,acceptance_ratio,avg_cost_per_arrival,total_cost,total_cost_resource,avg_cost_per_accepted,final_utilization,avg_utilization_over_time,avg_leftover_capacity_sum_over_time,final_leftover_capacity_sum,final_leftover_capacity_min,final_leftover_capacity_max,final_leftover_capacity_avg,avg_e2e_delay_accepted,p95_e2e_delay_accepted,avg_access_delay_accepted,avg_processing_delay_accepted,avg_network_delay_accepted,avg_split_proc_overhead_accepted,avg_split_net_overhead_accepted,total_transmitted_bits_accepted,avg_transmitted_bits_per_accepted,total_split_transmitted_bits_accepted,avg_split_transmitted_bits_per_accepted,avg_split_overhead_ratio_accepted,p95_split_overhead_ratio_accepted,rga_accepted_total,rga_rejected_total,rga_rejection_ratio,mdca_rejected_total,mdca_capacity_rejected_total,mdca_reliability_rejected_total,mdca_qos_rejected_total,mdca_rejection_ratio,capacity_rejection_ratio,reliability_rejection_ratio,qos_rejected_total,qos_rejection_ratio,placement_trace_path,method,share,share_tag
mdca,Alabama,120,12.0,9.0,1,7107730351518388438,1274429512653363058,b56db0d21b7c94cf1cbfdd4fe281852f506f1185a6b9dd5f9c177f64d601d89e,"[7, 9, 8, 11, 13, 10, 13, 10, 17, 8, 10, 15, 15, 7, 16, 13, 4, 15, 9, 11, 10, 6, 8, 15, 9, 16, 14, 15, 18, 9, 16, 7, 12, 10, 12, 7, 10, 12, 12, 16, 5, 11, 10, 11, 10, 12, 9, 13, 8, 12, 9, 13, 18, 17, 15, 16, 9, 8, 12, 15, 7, 16, 12, 14, 12, 14, 9, 8, 8, 8, 16, 13, 9, 14, 8, 14, 10, 14, 12, 9, 15, 11, 15, 11, 17, 9, 7, 9, 11, 9, 5, 16, 13, 11, 5, 16, 12, 14, 12, 20, 5, 13, 8, 10, 17, 15, 13, 12, 12, 10, 12, 14, 10, 8, 17, 8, 12, 6, 21, 14]",True,0.3,identical_active_pool,"0.6,0.4",,,0.999,2,True,False,False,1.0,500,700,0.2,1390,1086,304,0.781294964,46.4855495339,64614.9138521264,46458.9138521264,59.4980790535,0.9108753662,0.7253844302,48443.6694444445,15722.0666666667,0.0333333333,1562.6,114.7596107056,0.0650823169,0.1303595073,0.0080754986,0.0402250008,0.0127860587,0.0005211859,0.0,1735727353.2804751,1598275.6475879145,400435209.4149801,368724.8705478638,0.0068986017,0.0192902554,1108,282,0.2028776978,22,6,0,16,0.0158273381,0.0043165468,0.0,16,0.0115107914,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\DMDCA_share0p6_0p4\seed1\placement_trace_Alabama_mdca_seed1.json,DMDCA,"0.6,0.4",0p6_0p4
mdca,Alabama,120,12.0,9.0,1,7107730351518388438,1274429512653363058,b56db0d21b7c94cf1cbfdd4fe281852f506f1185a6b9dd5f9c177f64d601d89e,"[7, 9, 8, 11, 13, 10, 13, 10, 17, 8, 10, 15, 15, 7, 16, 13, 4, 15, 9, 11, 10, 6, 8, 15, 9, 16, 14, 15, 18, 9, 16, 7, 12, 10, 12, 7, 10, 12, 12, 16, 5, 11, 10, 11, 10, 12, 9, 13, 8, 12, 9, 13, 18, 17, 15, 16, 9, 8, 12, 15, 7, 16, 12, 14, 12, 14, 9, 8, 8, 8, 16, 13, 9, 14, 8, 14, 10, 14, 12, 9, 15, 11, 15, 11, 17, 9, 7, 9, 11, 9, 5, 16, 13, 11, 5, 16, 12, 14, 12, 20, 5, 13, 8, 10, 17, 15, 13, 12, 12, 10, 12, 14, 10, 8, 17, 8, 12, 6, 21, 14]",True,0.3,identical_active_pool,"0.7,0.3",,,0.999,2,True,False,False,1.0,500,700,0.2,1390,1086,304,0.781294964,46.3689502005,64452.8407787634,46314.8407787634,59.3488404961,0.9048910445,0.7256795206,48391.6138888889,16777.7333333333,0.0,1562.6,122.4652068127,0.0645029576,0.1285096749,0.0080767892,0.0401508122,0.0122694486,0.0009244402,0.0,1600204838.6684575,1473485.1184792425,297423852.9404695,273870.9511422371,0.0123922843,0.0347189613,1108,282,0.2028776978,22,7,0,15,0.0158273381,0.0050359712,0.0,15,0.0107913669,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\DMDCA_share0p7_0p3\seed1\placement_trace_Alabama_mdca_seed1.json,DMDCA,"0.7,0.3",0p7_0p3
mdca,Alabama,120,12.0,9.0,2,4521618134406134624,16121394405342853155,7404bdc3256a959c684d62eb3c10d5587d4c6ffb0abc5e614f237785895deb33,"[6, 14, 11, 10, 17, 15, 10, 14, 16, 11, 10, 10, 9, 12, 16, 16, 12, 17, 8, 12, 12, 6, 12, 9, 6, 16, 12, 11, 13, 9, 13, 14, 16, 12, 11, 17, 10, 22, 10, 12, 15, 14, 9, 11, 11, 18, 11, 10, 13, 13, 14, 13, 13, 11, 15, 10, 10, 13, 10, 15, 15, 7, 11, 12, 13, 9, 8, 7, 6, 6, 11, 13, 12, 4, 10, 6, 14, 14, 17, 6, 13, 9, 13, 11, 19, 8, 17, 11, 10, 9, 10, 16, 10, 9, 17, 9, 9, 10, 12, 16, 9, 10, 12, 13, 9, 16, 14, 12, 15, 11, 8, 12, 12, 12, 14, 13, 9, 10, 11, 10]",False,,,,,,0.999,2,False,False,False,1.0,500,700,0.2,1409,944,465,0.6699787083,32.8627386281,46303.5987269399,32719.5987269399,49.0504223802,0.5481912693,0.5728766477,75044.6333333333,79381.8,0.0,2492.0,579.4291970803,0.0550640786,0.1148411786,0.0081812914,0.0408277305,0.0060550567,0.0,0.0,976301167.527158,1034217.338482159,0.0,0.0,0.0,0.0,949,460,0.3264726757,5,0,0,5,0.003548616,0.0,0.0,5,0.003548616,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\MDCA\seed2\placement_trace_Alabama_mdca_seed2.json,MDCA,none,none
mdca,Alabama,120,12.0,9.0,2,4521618134406134624,1988428424119012433,7404bdc3256a959c684d62eb3c10d5587d4c6ffb0abc5e614f237785895deb33,"[6, 14, 11, 10, 17, 15, 10, 14, 16, 11, 10, 10, 9, 12, 16, 16, 12, 17, 8, 12, 12, 6, 12, 9, 6, 16, 12, 11, 13, 9, 13, 14, 16, 12, 11, 17, 10, 22, 10, 12, 15, 14, 9, 11, 11, 18, 11, 10, 13, 13, 14, 13, 13, 11, 15, 10, 10, 13, 10, 15, 15, 7, 11, 12, 13, 9, 8, 7, 6, 6, 11, 13, 12, 4, 10, 6, 14, 14, 17, 6, 13, 9, 13, 11, 19, 8, 17, 11, 10, 9, 10, 16, 10, 9, 17, 9, 9, 10, 12, 16, 9, 10, 12, 13, 9, 16, 14, 12, 15, 11, 8, 12, 12, 12, 14, 13, 9, 10, 11, 10]",True,0.3,identical_active_pool,"0.5,0.5",,,0.999,2,True,False,False,1.0,500,700,0.2,1409,1116,293,0.7920511001,43.0179386523,60612.2755610595,42971.2755610595,54.3120748755,0.6759674851,0.6907802298,54329.2333333333,56931.8,1.5333333333,1833.6,415.5605839416,0.0632428112,0.1278474113,0.008176991,0.0399030951,0.0113977475,5.81738585e-19,0.0,1845524308.8425765,1653695.617242452,498226558.75768197,446439.5687792849,7.82652397e-18,5.001926294e-17,1125,284,0.2015613911,9,0,0,9,0.0063875089,0.0,0.0,9,0.0063875089,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\DMDCA_share0p5_0p5\seed2\placement_trace_Alabama_mdca_seed2.json,DMDCA,"0.5,0.5",0p5_0p5
mdca,Alabama,120,12.0,9.0,2,4521618134406134624,1988428424119012433,7404bdc3256a959c684d62eb3c10d5587d4c6ffb0abc5e614f237785895deb33,"[6, 14, 11, 10, 17, 15, 10, 14, 16, 11, 10, 10, 9, 12, 16, 16, 12, 17, 8, 12, 12, 6, 12, 9, 6, 16, 12, 11, 13, 9, 13, 14, 16, 12, 11, 17, 10, 22, 10, 12, 15, 14, 9, 11, 11, 18, 11, 10, 13, 13, 14, 13, 13, 11, 15, 10, 10, 13, 10, 15, 15, 7, 11, 12, 13, 9, 8, 7, 6, 6, 11, 13, 12, 4, 10, 6, 14, 14, 17, 6, 13, 9, 13, 11, 19, 8, 17, 11, 10, 9, 10, 16, 10, 9, 17, 9, 9, 10, 12, 16, 9, 10, 12, 13, 9, 16, 14, 12, 15, 11, 8, 12, 12, 12, 14, 13, 9, 10, 11, 10]",True,0.3,identical_active_pool,"0.6,0.4",,,0.999,2,True,False,False,1.0,500,700,0.2,1409,1118,291,0.7934705465,43.2268868357,60906.6835514432,43193.6835514432,54.478250046,0.6759674851,0.6949085304,53603.9,56931.8,0.7666666667,1970.0,415.5605839416,0.0627205277,0.1256803308,0.0081747735,0.0396636925,0.0111160208,0.0004912227,0.0,1716366074.9542859,1535211.1582775365,398664576.3399618,356587.277584939,0.006713415,0.0203568655,1125,284,0.2015613911,7,0,0,7,0.0049680625,0.0,0.0,7,0.0049680625,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\DMDCA_share0p6_0p4\seed2\placement_trace_Alabama_mdca_seed2.json,DMDCA,"0.6,0.4",0p6_0p4
mdca,Alabama,120,12.0,9.0,2,4521618134406134624,1988428424119012433,7404bdc3256a959c684d62eb3c10d5587d4c6ffb0abc5e614f237785895deb33,"[6, 14, 11, 10, 17, 15, 10, 14, 16, 11, 10, 10, 9, 12, 16, 16, 12, 17, 8, 12, 12, 6, 12, 9, 6, 16, 12, 11, 13, 9, 13, 14, 16, 12, 11, 17, 10, 22, 10, 12, 15, 14, 9, 11, 11, 18, 11, 10, 13, 13, 14, 13, 13, 11, 15, 10, 10, 13, 10, 15, 15, 7, 11, 12, 13, 9, 8, 7, 6, 6, 11, 13, 12, 4, 10, 6, 14, 14, 17, 6, 13, 9, 13, 11, 19, 8, 17, 11, 10, 9, 10, 16, 10, 9, 17, 9, 9, 10, 12, 16, 9, 10, 12, 13, 9, 16, 14, 12, 15, 11, 8, 12, 12, 12, 14, 13, 9, 10, 11, 10]",True,0.3,identical_active_pool,"0.7,0.3",,,0.999,2,True,False,False,1.0,500,700,0.2,1409,1119,290,0.7941802697,43.1928173652,60858.6796675041,43140.6796675042,54.3866663695,0.6759674851,0.691834439,54144.0111111111,56931.8,0.4,1901.2666666667,415.5605839416,0.0620610438,0.1241532764,0.0081766616,0.0395923346,0.0105192377,0.0008706484,0.0,1585796387.3813887,1417154.948508837,299312533.74357903,267482.1570541367,0.0120731713,0.0368643397,1125,284,0.2015613911,6,0,0,6,0.0042583392,0.0,0.0,6,0.0042583392,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\DMDCA_share0p7_0p3\seed2\placement_trace_Alabama_mdca_seed2.json,DMDCA,"0.7,0.3",0p7_0p3
mdca,Alabama,120,12.0,9.0,3,17898944132975973841,8021305762253439011,bf61d259221c74149048e65e7fb1851e9cd650f207285111a85f27e2ebb5110c,"[11, 15, 15, 10, 9, 12, 16, 12, 18, 8, 13, 9, 14, 14, 19, 9, 12, 9, 14, 17, 12, 12, 9, 13, 9, 10, 10, 14, 13, 12, 11, 16, 21, 11, 7, 10, 9, 10, 14, 11, 12, 11, 12, 12, 9, 10, 11, 11, 9, 13, 9, 12, 8, 18, 14, 10, 8, 14, 7, 8, 10, 9, 12, 10, 12, 10, 7, 6, 6, 14, 11, 6, 12, 15, 15, 18, 6, 15, 16, 10, 9, 10, 12, 15, 8, 9, 13, 11, 8, 12, 15, 15, 8, 8, 10, 8, 13, 11, 9, 12, 15, 14, 23, 7, 14, 9, 11, 12, 6, 14, 14, 13, 8, 8, 14, 13, 13, 14, 18, 11]",False,,,,,,0.999,2,False,False,False,1.0,500,700,0.2,1395,926,469,0.6637992832,34.4269677022,48025.6199445348,34541.6199445348,51.8635204585,0.5825278363,0.5706423803,74846.9083333333,72775.0,0.0,2044.0,531.204379562,0.0551357447,0.1123400771,0.0079860397,0.0411958977,0.0059538073,0.0,0.0,921016186.4938444,994617.9119803935,0.0,0.0,0.0,0.0,932,463,0.3318996416,6,0,0,6,0.0043010753,0.0,0.0,6,0.0043010753,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\MDCA\seed3\placement_trace_Alabama_mdca_seed3.json,MDCA,none,none
mdca,Alabama,120,12.0,9.0,3,17898944132975973841,15868857010820782473,bf61d259221c74149048e65e7fb1851e9cd650f207285111a85f27e2ebb5110c,"[11, 15, 15, 10, 9, 12, 16, 12, 18, 8, 13, 9, 14, 14, 19, 9, 12, 9, 14, 17, 12, 12, 9, 13, 9, 10, 10, 14, 13, 12, 11, 16, 21, 11, 7, 10, 9, 10, 14, 11, 12, 11, 12, 12, 9, 10, 11, 11, 9, 13, 9, 12, 8, 18, 14, 10, 8, 14, 7, 8, 10, 9, 12, 10, 12, 10, 7, 6, 6, 14, 11, 6, 12, 15, 15, 18, 6, 15, 16, 10, 9, 10, 12, 15, 8, 9, 13, 11, 8, 12, 15, 15, 8, 8, 10, 8, 13, 11, 9, 12, 15, 14, 23, 7, 14, 9, 11, 12, 6, 14, 14, 13, 8, 8, 14, 13, 13, 14, 18, 11]",True,0.3,identical_active_pool,"0.5,0.5",,,0.999,2,True,False,False,1.0,500,700,0.2,1395,1115,280,0.7992831541,46.5699487238,64965.0784696887,47079.0784696887,58.2646443674,0.7431320021,0.7009875346,52124.75,44778.0,0.0,1910.4,326.8467153285,0.0632774522,0.1236440584,0.0080259206,0.0397620435,0.0115439947,6.573279539e-19,0.0,1827656735.9236763,1639154.023249934,492643785.25088465,441832.9912563988,8.828593732e-18,5.46995967e-17,1129,266,0.1906810036,14,5,0,9,0.0100358423,0.0035842294,0.0,9,0.0064516129,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\DMDCA_share0p5_0p5\seed3\placement_trace_Alabama_mdca_seed3.json,DMDCA,"0.5,0.5",0p5_0p5
mdca,Alabama,120,12.0,9.0,3,17898944132975973841,15868857010820782473,bf61d259221c74149048e65e7fb1851e9cd650f207285111a85f27e2ebb5110c,"[11, 15, 15, 10, 9, 12, 16, 12, 18, 8, 13, 9, 14, 14, 19, 9, 12, 9, 14, 17, 12, 12, 9, 13, 9, 10, 10, 14, 13, 12, 11, 16, 21, 11, 7, 10, 9, 10, 14, 11, 12, 11, 12, 12, 9, 10, 11, 11, 9, 13, 9, 12, 8, 18, 14, 10, 8, 14, 7, 8, 10, 9, 12, 10, 12, 10, 7, 6, 6, 14, 11, 6, 12, 15, 15, 18, 6, 15, 16, 10, 9, 10, 12, 15, 8, 9, 13, 11, 8, 12, 15, 15, 8, 8, 10, 8, 13, 11, 9, 12, 15, 14, 23, 7, 14, 9, 11, 12, 6, 14, 14, 13, 8, 8, 14, 13, 13, 14, 18, 11]",True,0.3,identical_active_pool,"0.6,0.4",,,0.999,2,True,False,False,1.0,500,700,0.2,1395,1116,279,0.8,46.424723721,64762.4895908173,46852.4895908173,58.0309046513,0.7431320021,0.7025027774,51860.6083333333,44778.0,0.3333333333,1910.4,326.8467153285,0.0628486441,0.1249994263,0.0080202805,0.0394574883,0.0113989079,0.0005180827,0.0,1691564203.1006217,1515738.5332442846,396814504.0494276,355568.5520156162,0.0070801744,0.0204075157,1129,266,0.1906810036,13,5,0,8,0.0093189964,0.0035842294,0.0,8,0.005734767,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\DMDCA_share0p6_0p4\seed3\placement_trace_Alabama_mdca_seed3.json,DMDCA,"0.6,0.4",0p6_0p4
mdca,Alabama,120,12.0,9.0,3,17898944132975973841,15868857010820782473,bf61d259221c74149048e65e7fb1851e9cd650f207285111a85f27e2ebb5110c,"[11, 15, 15, 10, 9, 12, 16, 12, 18, 8, 13, 9, 14, 14, 19, 9, 12, 9, 14, 17, 12, 12, 9, 13, 9, 10, 10, 14, 13, 12, 11, 16, 21, 11, 7, 10, 9, 10, 14, 11, 12, 11, 12, 12, 9, 10, 11, 11, 9, 13, 9, 12, 8, 18, 14, 10, 8, 14, 7, 8, 10, 9, 12, 10, 12, 10, 7, 6, 6, 14, 11, 6, 12, 15, 15, 18, 6, 15, 16, 10, 9, 10, 12, 15, 8, 9, 13, 11, 8, 12, 15, 15, 8, 8, 10, 8, 13, 11, 9, 12, 15, 14, 23, 7, 14, 9, 11, 12, 6, 14, 14, 13, 8, 8, 14, 13, 13, 14, 18, 11]",True,0.3,identical_active_pool,"0.7,0.3",,,0.999,2,True,False,False,1.0,500,700,0.2,1395,1118,277,0.8014336918,46.6643400825,65096.7544150623,47131.7544150623,58.2260772943,0.7431320021,0.7021567722,51920.925,44778.0,0.0,1910.4,326.8467153285,0.062579003,0.1236248307,0.0080255732,0.0394966279,0.0110822845,0.0009171963,0.0,1597313135.5459805,1428723.7348354028,302180568.8875437,270286.7342464612,0.0126194777,0.0363986922,1129,266,0.1906810036,11,5,0,6,0.0078853047,0.0035842294,0.0,6,0.0043010753,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\DMDCA_share0p7_0p3\seed3\placement_trace_Alabama_mdca_seed3.json,DMDCA,"0.7,0.3",0p7_0p3
mdca,Alabama,120,12.0,9.0,4,3231205637118540362,16336488235466383848,6c0c7e32fc521a83cd61c5d1ea84c5be7a21379cba43238204f84183943fd924,"[8, 14, 13, 10, 13, 9, 17, 9, 15, 15, 12, 10, 12, 12, 15, 16, 12, 14, 6, 14, 7, 9, 13, 14, 10, 15, 14, 11, 16, 12, 11, 13, 16, 11, 18, 12, 6, 7, 13, 11, 13, 13, 15, 5, 14, 13, 11, 14, 13, 9, 12, 7, 6, 7, 11, 10, 18, 15, 15, 10, 18, 12, 19, 9, 13, 20, 18, 8, 10, 13, 9, 10, 6, 12, 4, 14, 14, 9, 14, 4, 16, 9, 17, 10, 17, 9, 14, 12, 12, 11, 12, 11, 15, 13, 12, 11, 10, 10, 14, 10, 16, 12, 8, 17, 10, 10, 9, 9, 6, 7, 18, 13, 13, 10, 10, 12, 7, 11, 13, 12]",False,,,,,,0.999,2,False,False,False,1.0,500,700,0.2,1420,916,504,0.6450704225,31.9830707642,45415.9604851102,31840.9604851102,49.5807428877,0.6131402015,0.5719060479,73821.2916666667,66710.8,0.8,2204.0,486.9401459854,0.0561554677,0.1133016497,0.0080642471,0.0422418019,0.0058494187,0.0,0.0,933655001.2843994,1019274.0188694317,0.0,0.0,0.0,0.0,921,499,0.3514084507,5,0,0,5,0.0035211268,0.0,0.0,5,0.0035211268,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\MDCA\seed4\placement_trace_Alabama_mdca_seed4.json,MDCA,none,none
mdca,Alabama,120,12.0,9.0,4,3231205637118540362,4574233998141395180,6c0c7e32fc521a83cd61c5d1ea84c5be7a21379cba43238204f84183943fd924,"[8, 14, 13, 10, 13, 9, 17, 9, 15, 15, 12, 10, 12, 12, 15, 16, 12, 14, 6, 14, 7, 9, 13, 14, 10, 15, 14, 11, 16, 12, 11, 13, 16, 11, 18, 12, 6, 7, 13, 11, 13, 13, 15, 5, 14, 13, 11, 14, 13, 9, 12, 7, 6, 7, 11, 10, 18, 15, 15, 10, 18, 12, 19, 9, 13, 20, 18, 8, 10, 13, 9, 10, 6, 12, 4, 14, 14, 9, 14, 4, 16, 9, 17, 10, 17, 9, 14, 12, 12, 11, 12, 11, 15, 13, 12, 11, 10, 10, 14, 10, 16, 12, 8, 17, 10, 10, 9, 9, 6, 7, 18, 13, 13, 10, 10, 12, 7, 11, 13, 12]",True,0.3,identical_active_pool,"0.5,0.5",,,0.999,2,True,False,False,1.0,500,700,0.2,1420,1113,307,0.7838028169,44.7983730021,63613.6896629575,45231.6896629575,57.1551569299,0.779762602,0.7115106372,49747.625,37978.1333333333,0.0,2204.0,277.2126520681,0.0651089044,0.127068576,0.0080452685,0.0409018438,0.0120214204,6.678607452e-19,0.0,1872584089.7895138,1682465.489478449,500210642.7303408,449425.5550137833,8.627900365e-18,5.827875809e-17,1129,291,0.2049295775,16,2,0,14,0.0112676056,0.0014084507,0.0,14,0.0098591549,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\DMDCA_share0p5_0p5\seed4\placement_trace_Alabama_mdca_seed4.json,DMDCA,"0.5,0.5",0p5_0p5
mdca,Alabama,120,12.0,9.0,4,3231205637118540362,4574233998141395180,6c0c7e32fc521a83cd61c5d1ea84c5be7a21379cba43238204f84183943fd924,"[8, 14, 13, 10, 13, 9, 17, 9, 15, 15, 12, 10, 12, 12, 15, 16, 12, 14, 6, 14, 7, 9, 13, 14, 10, 15, 14, 11, 16, 12, 11, 13, 16, 11, 18, 12, 6, 7, 13, 11, 13, 13, 15, 5, 14, 13, 11, 14, 13, 9, 12, 7, 6, 7, 11, 10, 18, 15, 15, 10, 18, 12, 19, 9, 13, 20, 18, 8, 10, 13, 9, 10, 6, 12, 4, 14, 14, 9, 14, 4, 16, 9, 17, 10, 17, 9, 14, 12, 12, 11, 12, 11, 15, 13, 12, 11, 10, 10, 14, 10, 16, 12, 8, 17, 10, 10, 9, 9, 6, 7, 18, 13, 13, 10, 10, 12, 7, 11, 13, 12]",True,0.3,identical_active_pool,"0.6,0.4",,,0.999,2,True,False,False,1.0,500,700,0.2,1420,1114,306,0.7845070423,44.784259214,63593.6480838761,45206.6480838761,57.0858600394,0.779762602,0.7121898358,49630.5027777778,37978.1333333333,0.8666666667,2204.0,277.2126520681,0.0642403787,0.1255222492,0.0080504124,0.0406663894,0.0113769452,0.000540865,0.0,1758710734.4654508,1578734.9501485196,408956065.9320824,367105.9837810434,0.0072243608,0.0205067405,1129,291,0.2049295775,15,2,0,13,0.0105633803,0.0014084507,0.0,13,0.0091549296,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\DMDCA_share0p6_0p4\seed4\placement_trace_Alabama_mdca_seed4.json,DMDCA,"0.6,0.4",0p6_0p4
mdca,Alabama,120,12.0,9.0,4,3231205637118540362,4574233998141395180,6c0c7e32fc521a83cd61c5d1ea84c5be7a21379cba43238204f84183943fd924,"[8, 14, 13, 10, 13, 9, 17, 9, 15, 15, 12, 10, 12, 12, 15, 16, 12, 14, 6, 14, 7, 9, 13, 14, 10, 15, 14, 11, 16, 12, 11, 13, 16, 11, 18, 12, 6, 7, 13, 11, 13, 13, 15, 5, 14, 13, 11, 14, 13, 9, 12, 7, 6, 7, 11, 10, 18, 15, 15, 10, 18, 12, 19, 9, 13, 20, 18, 8, 10, 13, 9, 10, 6, 12, 4, 14, 14, 9, 14, 4, 16, 9, 17, 10, 17, 9, 14, 12, 12, 11, 12, 11, 15, 13, 12, 11, 10, 10, 14, 10, 16, 12, 8, 17, 10, 10, 9, 9, 6, 7, 18, 13, 13, 10, 10, 12, 7, 11, 13, 12]",True,0.3,identical_active_pool,"0.7,0.3",,,0.999,2,True,False,False,1.0,500,700,0.2,1420,1117,303,0.7866197183,45.0580208492,63982.3896058857,45514.3896058857,57.2805636579,0.7921706531,0.7162539284,48929.6833333333,35838.4666666667,0.6666666667,2204.0,261.5946472019,0.0640569518,0.1253465172,0.0080526979,0.0406196337,0.0112054345,0.0009644275,0.0,1649901864.21763,1477083.137168872,307278410.03139925,275092.5783629357,0.0129589082,0.0362788404,1129,291,0.2049295775,12,3,0,9,0.0084507042,0.0021126761,0.0,9,0.0063380282,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\DMDCA_share0p7_0p3\seed4\placement_trace_Alabama_mdca_seed4.json,DMDCA,"0.7,0.3",0p7_0p3
mdca,Alabama,120,12.0,9.0,5,2423446912683703478,10056931585136477576,242807615d01f26b618bf2474c8c191b5431614999303085f85b6b1352045e68,"[13, 19, 12, 12, 6, 12, 10, 7, 9, 12, 14, 7, 14, 11, 15, 13, 11, 13, 13, 11, 15, 12, 11, 14, 14, 14, 12, 10, 15, 8, 12, 8, 13, 14, 8, 10, 15, 16, 14, 15, 11, 9, 16, 15, 16, 18, 15, 13, 7, 10, 9, 10, 11, 16, 9, 9, 10, 8, 9, 11, 13, 15, 9, 14, 10, 13, 9, 17, 8, 24, 17, 8, 6, 5, 12, 12, 9, 11, 18, 10, 13, 13, 13, 13, 6, 14, 6, 11, 11, 8, 14, 11, 19, 8, 12, 14, 17, 11, 14, 11, 8, 22, 10, 14, 18, 10, 7, 8, 9, 8, 8, 16, 16, 13, 7, 11, 18, 8, 11, 6]",False,,,,,,0.999,2,False,False,False,1.0,500,700,0.2,1423,909,514,0.638791286,32.084874054,45656.7757787736,32318.7757787736,50.2274761043,0.5408849598,0.572376246,74830.3083333333,80341.0,0.0,2134.4,586.4306569343,0.053958802,0.114843384,0.0081606564,0.0397456914,0.0060524542,0.0,0.0,937657263.3826573,1031526.1423351566,0.0,0.0,0.0,0.0,912,511,0.3591004919,3,0,0,3,0.0021082221,0.0,0.0,3,0.0021082221,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\MDCA\seed5\placement_trace_Alabama_mdca_seed5.json,MDCA,none,none
mdca,Alabama,120,12.0,9.0,5,2423446912683703478,6041356402655296302,242807615d01f26b618bf2474c8c191b5431614999303085f85b6b1352045e68,"[13, 19, 12, 12, 6, 12, 10, 7, 9, 12, 14, 7, 14, 11, 15, 13, 11, 13, 13, 11, 15, 12, 11, 14, 14, 14, 12, 10, 15, 8, 12, 8, 13, 14, 8, 10, 15, 16, 14, 15, 11, 9, 16, 15, 16, 18, 15, 13, 7, 10, 9, 10, 11, 16, 9, 9, 10, 8, 9, 11, 13, 15, 9, 14, 10, 13, 9, 17, 8, 24, 17, 8, 6, 5, 12, 12, 9, 11, 18, 10, 13, 13, 13, 13, 6, 14, 6, 11, 11, 8, 14, 11, 19, 8, 12, 14, 17, 11, 14, 11, 8, 22, 10, 14, 18, 10, 7, 8, 9, 8, 8, 16, 16, 13, 7, 11, 18, 8, 11, 6]",True,0.3,identical_active_pool,"0.5,0.5",,,0.999,2,True,False,False,1.0,500,700,0.2,1423,1117,306,0.7849613493,45.2002184011,64319.9107847037,46274.9107847037,57.5827312307,0.7311156955,0.7096735134,50804.5222222222,47052.3333333333,0.4,1968.0,343.4476885645,0.0620040644,0.1224941312,0.0080933498,0.0388196218,0.0116656454,4.837657679e-19,0.0,1800267685.8772073,1611698.9130503198,471599874.26944375,422202.2151024563,6.611254284e-18,4.335028148e-17,1131,292,0.2052002811,14,0,0,14,0.0098383696,0.0,0.0,14,0.0098383696,D:\Study\Code_1\paper_data\workload_sharing_sensitivity\Alabama\R0p999\DMDCA_share0p5_0p5\seed5\placement_trace_Alabama_mdca_seed5.json,DMDCA,"0.5,0.5",0p5_0p5
