section,experiment,region,x_name,x_value,seed,trace_hash_nunique,total_arrivals_nunique,arrivals_per_slot_nunique,trace_consistent
split_enabled,load,Alabama,arrival_rate,30.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,30.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,30.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,35.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,35.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,35.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,35.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,35.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,40.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,40.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,40.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,40.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,40.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,45.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,45.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,45.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,45.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,45.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,50.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,50.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,50.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,50.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,50.0,5,1,1,1,True
split_enabled,load,Arizona,arrival_rate,5.0,1,1,1,1,True
split_enabled,load,Arizona,arrival_rate,5.0,2,1,1,1,True
split_enabled,load,Arizona,arrival_rate,5.0,3,1,1,1,True
split_enabled,load,Arizona,arrival_rate,5.0,4,1,1,1,True
split_enabled,load,Arizona,arrival_rate,5.0,5,1,1,1,True
split_enabled,load,Arizona,arrival_rate,10.0,1,1,1,1,True
split_enabled,load,Arizona,arrival_rate,10.0,2,1,1,1,True
split_enabled,load,Arizona,arrival_rate,10.0,3,1,1,1,True
split_enabled,load,Arizona,arrival_rate,10.0,4,1,1,1,True
split_enabled,load,Arizona,arrival_rate,10.0,5,1,1,1,True
split_enabled,load,Arizona,arrival_rate,15.0,1,1,1,1,True
split_enabled,load,Arizona,arrival_rate,15.0,2,1,1,1,True
split_enabled,load,Arizona,arrival_rate,15.0,3,1,1,1,True
