experiment,region,x_name,x_value,method,seed,edge_csv_used,out_dir,status,command,total_runtime_s,avg_runtime_per_slot_s,avg_runtime_per_arrival_ms,algo,time_slots,arrival_rate,mean_service_time,trace_seed,algo_seed,trace_hash,arrivals_per_slot,diversity,p_split,split_reliability_mode,split_recovery_coverage,split_workload_shares,mechanism,fixed_sfc_len,fixed_reliability,max_backup_level,explicit_split_replicas,split_enforce_distinct,strict_split_resource_ablation,split_replica_resource_scale,backhaul_knn_k,backhaul_use_device_bw,backhaul_bw_scale,fiber_speed_mps,switch_delay_s,region_cloudlet_count,cap_base_min,cap_base_max,cap_scale,total_arrivals,total_accepted,total_rejected,acceptance_ratio,avg_cost_per_arrival,total_cost,total_cost_resource,avg_cost_per_accepted,final_utilization,avg_utilization_over_time,avg_leftover_capacity_sum_over_time,final_leftover_capacity_sum,final_leftover_capacity_min,final_leftover_capacity_max,final_leftover_capacity_avg,avg_e2e_delay_accepted,p95_e2e_delay_accepted,avg_access_delay_accepted,avg_processing_delay_accepted,avg_network_delay_accepted,avg_split_proc_overhead_accepted,avg_split_net_overhead_accepted,total_transmitted_bits_accepted,avg_transmitted_bits_per_accepted,total_split_transmitted_bits_accepted,avg_split_transmitted_bits_per_accepted,avg_split_overhead_ratio_accepted,p95_split_overhead_ratio_accepted,rga_accepted_total,rga_rejected_total,rga_rejection_ratio,mdca_rejected_total,mdca_capacity_rejected_total,mdca_reliability_rejected_total,mdca_qos_rejected_total,mdca_rejection_ratio,capacity_rejection_ratio,reliability_rejection_ratio,qos_rejected_total,qos_rejection_ratio
k_sweep,Arizona,cloudlet_count,50.0,MDCA,1,D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\MDCA\seed1,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 20.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 1 --out_dir D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\MDCA\seed1 --max_backup_level 2,1.4787746999645606,0.01232312249970467,0.6108115241489305,mdca,120,20.0,9.0,164892135199795970,3737587677167370884,f93fbd24f05903861fafd78c66658704f75cca1efbe6d43bcd0d69338d81aebb,"[15, 19, 26, 25, 17, 25, 24, 24, 18, 18, 28, 14, 18, 23, 22, 25, 18, 23, 20, 11, 18, 16, 22, 14, 22, 14, 25, 22, 23, 18, 19, 28, 21, 17, 19, 12, 24, 24, 15, 26, 24, 23, 18, 20, 23, 23, 22, 17, 16, 22, 19, 26, 15, 21, 20, 28, 17, 20, 21, 21, 21, 19, 23, 23, 19, 19, 8, 20, 22, 21, 21, 18, 22, 18, 21, 21, 18, 14, 22, 31, 20, 24, 16, 14, 20, 24, 17, 16, 25, 12, 21, 22, 22, 16, 20, 20, 24, 17, 18, 18, 24, 17, 18, 20, 23, 18, 18, 12, 21, 23, 25, 15, 19, 11, 24, 19, 29, 26, 16, 28]",False,,,,,,3,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,2421,585,1836,0.2416356877,13.4855060852,32648.4102322436,22764.4102322436,55.8092482602,0.9474814847,0.945373477,3249.8083333333,3124.4,0.6,915.2,62.488,0.0763024491,0.1224339843,0.0081174605,0.0630763698,0.0051086187,0.0,0.0,702336528.4512193,1200575.2623097766,0.0,0.0,0.0,0.0,1601,820,0.3387030153,1016,1016,0,0,0.419661297,0.419661297,0.0,0,0.0
k_sweep,Arizona,cloudlet_count,50.0,MDCA,2,D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\MDCA\seed2,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 20.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 2 --out_dir D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\MDCA\seed2 --max_backup_level 2,1.3675159999984317,0.011395966666653597,0.5831624733468792,mdca,120,20.0,9.0,501306466021504078,12017847392608320075,0df4788563ae3a656eb39137d89b30e330944a2390c12c74af7156b3a4d935bd,"[15, 24, 22, 15, 9, 23, 20, 25, 17, 12, 15, 17, 12, 28, 21, 11, 20, 22, 21, 19, 24, 18, 18, 17, 8, 21, 14, 13, 14, 25, 17, 19, 20, 20, 17, 19, 17, 17, 17, 12, 19, 8, 21, 15, 22, 12, 21, 11, 24, 23, 26, 15, 19, 19, 21, 22, 24, 24, 25, 19, 18, 15, 21, 17, 25, 13, 16, 28, 19, 22, 17, 19, 21, 15, 22, 18, 29, 21, 13, 25, 18, 20, 20, 23, 17, 21, 19, 21, 32, 25, 25, 18, 12, 16, 12, 20, 16, 14, 35, 34, 23, 19, 21, 16, 23, 22, 25, 26, 13, 25, 31, 19, 20, 20, 19, 21, 19, 27, 18, 21]",False,,,,,,3,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,2345,579,1766,0.2469083156,14.7784852219,34655.5478453733,24931.5478453733,59.8541413564,0.9530104296,0.9463431508,3243.1916666667,2840.2,0.4,663.4,56.804,0.0763220981,0.1251191386,0.008016675,0.0631724467,0.0051329764,0.0,0.0,675119002.2650995,1166008.6394906729,0.0,0.0,0.0,0.0,1520,825,0.3518123667,941,938,0,3,0.4012793177,0.4,0.0,3,0.0012793177
k_sweep,Arizona,cloudlet_count,50.0,MDCA,3,D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\MDCA\seed3,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 20.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 3 --out_dir D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\MDCA\seed3 --max_backup_level 2,1.2948760999715887,0.010790634166429907,0.5300352435413789,mdca,120,20.0,9.0,13418271207744893210,18185845460186161846,b683d704ad747642856500a5ed6907456039f69ebbff1d7042ea00370e7ec260,"[19, 18, 18, 21, 22, 27, 22, 19, 31, 23, 21, 25, 20, 18, 26, 20, 27, 20, 21, 17, 17, 22, 21, 19, 19, 24, 12, 23, 23, 16, 12, 19, 18, 19, 18, 17, 24, 15, 17, 15, 21, 20, 21, 20, 16, 15, 12, 24, 25, 25, 13, 19, 23, 20, 30, 24, 20, 22, 18, 20, 20, 17, 18, 23, 25, 16, 21, 19, 11, 17, 22, 27, 22, 14, 27, 27, 17, 21, 13, 15, 20, 21, 15, 24, 19, 31, 12, 24, 28, 22, 19, 25, 19, 21, 15, 24, 26, 14, 20, 26, 20, 27, 17, 23, 21, 17, 20, 23, 13, 24, 20, 14, 23, 17, 23, 17, 20, 26, 23, 25]",False,,,,,,3,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,2443,639,1804,0.2615636512,14.7271708183,35978.4783091829,25321.4783091829,56.3043479017,0.9544783205,0.9464762567,3247.05,2761.6,0.0,431.6,55.232,0.074880283,0.1160647182,0.0079929415,0.0618399704,0.0050473711,0.0,0.0,738426635.2422847,1155597.2382508367,0.0,0.0,0.0,0.0,1594,849,0.3475235366,955,949,0,6,0.3909128121,0.3884568154,0.0,6,0.0024559967
k_sweep,Arizona,cloudlet_count,50.0,MDCA,4,D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\MDCA\seed4,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 20.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 4 --out_dir D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\MDCA\seed4 --max_backup_level 2,1.2609499999671243,0.010507916666392702,0.5386373344584042,mdca,120,20.0,9.0,12245394020756893388,14420759781778004277,bb3d5c62d7537df1e8f5175af4ffd7081f2730b6f86d20869baec5117a5f5182,"[22, 19, 18, 20, 20, 16, 21, 13, 15, 20, 13, 21, 20, 21, 27, 30, 17, 20, 14, 27, 16, 17, 17, 10, 17, 18, 26, 15, 25, 23, 21, 30, 29, 18, 18, 21, 21, 22, 12, 15, 20, 29, 21, 20, 21, 21, 20, 19, 29, 23, 22, 14, 15, 19, 17, 19, 15, 17, 20, 22, 19, 13, 22, 18, 15, 18, 16, 20, 25, 26, 15, 16, 22, 25, 12, 16, 24, 22, 17, 26, 30, 19, 26, 21, 12, 14, 15, 14, 30, 15, 18, 23, 16, 19, 16, 23, 22, 17, 13, 26, 16, 21, 17, 16, 22, 19, 15, 20, 14, 20, 21, 19, 12, 19, 21, 16, 21, 23, 25, 20]",False,,,,,,3,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,2341,569,1772,0.243058522,14.1491957977,33123.2673625215,23503.2673625215,58.21312366,0.9576333259,0.9504392274,2990.725,2556.6,0.0,437.6,51.132,0.0782444192,0.1268013511,0.0081407385,0.065013634,0.0050900467,0.0,0.0,672061027.7816609,1181126.5866110034,0.0,0.0,0.0,0.0,1506,835,0.3566851773,937,936,0,1,0.4002563007,0.3998291328,0.0,1,0.0004271679
k_sweep,Arizona,cloudlet_count,50.0,MDCA,5,D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\MDCA\seed5,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 20.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 5 --out_dir D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\MDCA\seed5 --max_backup_level 2,1.2738081999705173,0.010615068333087644,0.5128052334824948,mdca,120,20.0,9.0,919249107939937052,8179750290924396156,7164172712c9f78eefd5aa2fd2b8bd0a7a036b28798239945209ddda61b410d4,"[21, 21, 15, 20, 21, 24, 21, 25, 20, 16, 17, 24, 17, 16, 22, 24, 22, 7, 30, 15, 21, 24, 19, 24, 22, 35, 13, 15, 22, 17, 14, 17, 18, 11, 25, 19, 21, 26, 25, 23, 16, 22, 19, 32, 14, 22, 15, 25, 23, 19, 22, 26, 19, 26, 23, 22, 21, 26, 28, 15, 29, 21, 16, 23, 18, 23, 17, 18, 24, 19, 17, 31, 11, 13, 16, 18, 29, 19, 13, 17, 15, 23, 18, 14, 28, 19, 18, 21, 27, 14, 21, 23, 19, 26, 29, 22, 21, 19, 22, 21, 26, 19, 23, 23, 14, 21, 19, 28, 25, 22, 27, 17, 13, 17, 23, 19, 26, 22, 24, 20]",False,,,,,,3,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,2484,630,1854,0.2536231884,14.5529558667,36149.5423729328,25685.5423729328,57.3802259888,0.9637958421,0.9479362653,3126.9166666667,2174.4,0.4,172.6,43.488,0.0750877579,0.1205579138,0.0080050375,0.0618888981,0.0051938222,0.0,0.0,738052265.0609604,1171511.5318427943,0.0,0.0,0.0,0.0,1610,874,0.3518518519,980,976,0,4,0.3945249597,0.3929146538,0.0,4,0.001610306
k_sweep,Arizona,cloudlet_count,50.0,DMDCA,1,D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\DMDCA\seed1,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 20.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 1 --out_dir D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\DMDCA\seed1 --max_backup_level 2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,1.4002764000324532,0.011668970000270444,0.5783876084396751,mdca,120,20.0,9.0,164892135199795970,9475761514817476165,f93fbd24f05903861fafd78c66658704f75cca1efbe6d43bcd0d69338d81aebb,"[15, 19, 26, 25, 17, 25, 24, 24, 18, 18, 28, 14, 18, 23, 22, 25, 18, 23, 20, 11, 18, 16, 22, 14, 22, 14, 25, 22, 23, 18, 19, 28, 21, 17, 19, 12, 24, 24, 15, 26, 24, 23, 18, 20, 23, 23, 22, 17, 16, 22, 19, 26, 15, 21, 20, 28, 17, 20, 21, 21, 21, 19, 23, 23, 19, 19, 8, 20, 22, 21, 21, 18, 22, 18, 21, 21, 18, 14, 22, 31, 20, 24, 16, 14, 20, 24, 17, 16, 25, 12, 21, 22, 22, 16, 20, 20, 24, 17, 18, 18, 24, 17, 18, 20, 23, 18, 18, 12, 21, 23, 25, 15, 19, 11, 24, 19, 29, 26, 16, 28]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,3,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,2421,663,1758,0.2738537794,14.3432052836,34724.8999915062,23305.8999915062,52.3754147685,0.9563679232,0.9540717463,2732.3361111111,2595.7333333333,1.4,348.8,51.9146666667,0.0814122789,0.130209885,0.0081274082,0.056870711,0.0101738184,1.013230266e-18,0.0,1232343131.518693,1858737.7549301554,346817488.7081449,523103.3012189214,1.206864842e-17,7.079952775e-17,1991,430,0.1776125568,1328,1325,1,2,0.5485336638,0.5472945064,0.0004130525,2,0.0008261049
k_sweep,Arizona,cloudlet_count,50.0,DMDCA,2,D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\DMDCA\seed2,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 20.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 2 --out_dir D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\DMDCA\seed2 --max_backup_level 2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,1.4772313000285067,0.01231026083357089,0.6299493816752694,mdca,120,20.0,9.0,501306466021504078,4836232127056779440,0df4788563ae3a656eb39137d89b30e330944a2390c12c74af7156b3a4d935bd,"[15, 24, 22, 15, 9, 23, 20, 25, 17, 12, 15, 17, 12, 28, 21, 11, 20, 22, 21, 19, 24, 18, 18, 17, 8, 21, 14, 13, 14, 25, 17, 19, 20, 20, 17, 19, 17, 17, 17, 12, 19, 8, 21, 15, 22, 12, 21, 11, 24, 23, 26, 15, 19, 19, 21, 22, 24, 24, 25, 19, 18, 15, 21, 17, 25, 13, 16, 28, 19, 22, 17, 19, 21, 15, 22, 18, 29, 21, 13, 25, 18, 20, 20, 23, 17, 21, 19, 21, 32, 25, 25, 18, 12, 16, 12, 20, 16, 14, 35, 34, 23, 19, 21, 16, 23, 22, 25, 26, 13, 25, 31, 19, 20, 20, 19, 21, 19, 27, 18, 21]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,3,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,2345,697,1648,0.297228145,17.4915732588,41017.7392918662,29090.7392918662,58.8489803327,0.9656393661,0.9561388029,2651.1111111111,2076.8666666667,0.8666666667,177.7333333333,41.5373333333,0.0797962015,0.1267026163,0.008090579,0.0565377694,0.0093750138,1.055891585e-18,0.0,1252080585.8124251,1796385.3454984578,337961277.30613077,484879.8813574329,1.324004166e-17,6.656080463e-17,1896,449,0.1914712154,1199,1186,5,8,0.5113006397,0.5057569296,0.0021321962,8,0.0034115139
k_sweep,Arizona,cloudlet_count,50.0,DMDCA,3,D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\DMDCA\seed3,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 20.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 3 --out_dir D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\DMDCA\seed3 --max_backup_level 2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,1.3771702999947593,0.011476419166622993,0.5637209578365777,mdca,120,20.0,9.0,13418271207744893210,18087234375462464239,b683d704ad747642856500a5ed6907456039f69ebbff1d7042ea00370e7ec260,"[19, 18, 18, 21, 22, 27, 22, 19, 31, 23, 21, 25, 20, 18, 26, 20, 27, 20, 21, 17, 17, 22, 21, 19, 19, 24, 12, 23, 23, 16, 12, 19, 18, 19, 18, 17, 24, 15, 17, 15, 21, 20, 21, 20, 16, 15, 12, 24, 25, 25, 13, 19, 23, 20, 30, 24, 20, 22, 18, 20, 20, 17, 18, 23, 25, 16, 21, 19, 11, 17, 22, 27, 22, 14, 27, 27, 17, 21, 13, 15, 20, 21, 15, 24, 19, 31, 12, 24, 28, 22, 19, 25, 19, 21, 15, 24, 26, 14, 20, 26, 20, 27, 17, 23, 21, 17, 20, 23, 13, 24, 20, 14, 23, 17, 23, 17, 20, 26, 23, 25]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,3,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,2443,667,1776,0.2730249693,14.6498172223,35789.503474162,24311.503474162,53.657426498,0.9656653304,0.9558429965,2678.8111111111,2082.9333333333,2.1333333333,227.8666666667,41.6586666667,0.0799631692,0.1260254981,0.0080373242,0.0571930432,0.0093516534,8.842668393e-19,0.0,1176481613.203446,1763840.4995553913,297959606.8051842,446716.0521816855,1.03188985e-17,6.422733283e-17,1978,465,0.1903397462,1311,1300,0,11,0.5366352845,0.5321326238,0.0,11,0.0045026607
k_sweep,Arizona,cloudlet_count,50.0,DMDCA,4,D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\DMDCA\seed4,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 20.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 4 --out_dir D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\DMDCA\seed4 --max_backup_level 2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,1.3833835999830626,0.011528196666525522,0.5909370354476987,mdca,120,20.0,9.0,12245394020756893388,9982702643186365209,bb3d5c62d7537df1e8f5175af4ffd7081f2730b6f86d20869baec5117a5f5182,"[22, 19, 18, 20, 20, 16, 21, 13, 15, 20, 13, 21, 20, 21, 27, 30, 17, 20, 14, 27, 16, 17, 17, 10, 17, 18, 26, 15, 25, 23, 21, 30, 29, 18, 18, 21, 21, 22, 12, 15, 20, 29, 21, 20, 21, 21, 20, 19, 29, 23, 22, 14, 15, 19, 17, 19, 15, 17, 20, 22, 19, 13, 22, 18, 15, 18, 16, 20, 25, 26, 15, 16, 22, 25, 12, 16, 24, 22, 17, 26, 30, 19, 26, 21, 12, 14, 15, 14, 30, 15, 18, 23, 16, 19, 16, 23, 22, 17, 13, 26, 16, 21, 17, 16, 22, 19, 15, 20, 14, 20, 21, 19, 12, 19, 21, 16, 21, 23, 25, 20]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,3,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,2341,637,1704,0.2721059376,15.1463721037,35457.6570946839,24376.6570946839,55.6635119226,0.9594672376,0.9566574032,2615.4916666667,2445.9333333333,3.2,273.2,48.9186666667,0.0809157114,0.129377236,0.0080754706,0.05828217,0.0088584849,8.544262019e-19,0.0,1098374627.9737656,1724292.9795506524,283643632.22125757,445280.427348913,9.924330501e-18,5.940973484e-17,1877,464,0.1982058949,1240,1231,3,6,0.5296881674,0.5258436566,0.0012815036,6,0.0025630073
k_sweep,Arizona,cloudlet_count,50.0,DMDCA,5,D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\DMDCA\seed5,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K050_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 20.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 5 --out_dir D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_50\DMDCA\seed5 --max_backup_level 2 --diversity --p_split 0.3 --explicit_split_replicas --split_replica_count 2 --split_reliability_mode identical_active_pool,1.4882839000201784,0.012402365833501487,0.5991481078986225,mdca,120,20.0,9.0,919249107939937052,8713146723775295805,7164172712c9f78eefd5aa2fd2b8bd0a7a036b28798239945209ddda61b410d4,"[21, 21, 15, 20, 21, 24, 21, 25, 20, 16, 17, 24, 17, 16, 22, 24, 22, 7, 30, 15, 21, 24, 19, 24, 22, 35, 13, 15, 22, 17, 14, 17, 18, 11, 25, 19, 21, 26, 25, 23, 16, 22, 19, 32, 14, 22, 15, 25, 23, 19, 22, 26, 19, 26, 23, 22, 21, 26, 28, 15, 29, 21, 16, 23, 18, 23, 17, 18, 24, 19, 17, 31, 11, 13, 16, 18, 29, 19, 13, 17, 15, 23, 18, 14, 28, 19, 18, 21, 27, 14, 21, 23, 19, 26, 29, 22, 21, 19, 22, 21, 26, 19, 23, 23, 14, 21, 19, 28, 25, 22, 27, 17, 13, 17, 23, 19, 26, 22, 24, 20]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,3,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,50,500,700,0.2,2484,683,1801,0.2749597424,14.6288375343,36338.0324352654,24650.0324352655,53.2035613986,0.9788531576,0.9582768152,2505.8694444444,1270.0666666667,0.6666666667,85.8,25.4013333333,0.081779046,0.1311501497,0.0080163459,0.0576926186,0.00998594,9.365728869e-19,0.0,1228959433.607993,1799354.954038057,332702335.674327,487119.0859067746,1.10917322e-17,6.568395008e-17,2010,474,0.190821256,1327,1317,4,6,0.5342190016,0.5301932367,0.001610306,6,0.0024154589
k_sweep,Arizona,cloudlet_count,100.0,MDCA,1,D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K100_subset_seed20260610.csv,D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_100\MDCA\seed1,ran,C:\Python314\python.exe D:\Study\Code_1\online_mdca_sim_delay_split_strict.py --edge_csv D:\Study\Code_1\paper_data\scalability_runtime\subsets\Edge_devices_Arizona_K100_subset_seed20260610.csv --region Arizona --time_slots 120 --arrival_rate 20.0 --mean_service_time 9.0 --k 6 --algo mdca --cap_scale 0.2 --backhaul_knn_k 4 --backhaul_bw_scale 0.5 --fixed_reliability 0.999 --fixed_sfc_len 3 --seed 1 --out_dir D:\Study\Code_1\paper_data\scalability_runtime\runs\k_sweep\Arizona\K_100\MDCA\seed1 --max_backup_level 2,1.5542996000149287,0.012952496666791073,0.6506067810861987,mdca,120,20.0,9.0,10473018839818102852,3737587677167370884,9e985cfb6923396803310ca74e79d21f6ea746bc2634ac6b472a6c7d9c873fcf,"[17, 13, 25, 17, 21, 16, 27, 19, 24, 17, 15, 18, 18, 20, 19, 27, 22, 15, 24, 21, 19, 17, 18, 23, 25, 15, 23, 24, 22, 30, 28, 12, 27, 18, 19, 22, 24, 21, 16, 15, 18, 24, 20, 22, 20, 21, 18, 15, 18, 15, 19, 13, 20, 23, 18, 16, 26, 16, 19, 22, 21, 25, 27, 22, 23, 23, 21, 17, 11, 19, 21, 31, 26, 20, 20, 13, 17, 16, 16, 13, 24, 20, 22, 26, 20, 19, 20, 24, 14, 24, 13, 27, 19, 21, 27, 23, 31, 12, 19, 11, 16, 16, 15, 18, 24, 20, 9, 19, 20, 14, 17, 13, 28, 20, 18, 22, 17, 21, 17, 31]",False,,,,,,3,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,100,500,700,0.2,2389,1051,1338,0.4399330264,29.7750481992,71132.5901478364,53139.5901478364,67.6808659827,0.956403706,0.9314422957,8222.5916666667,5228.8,1.4,346.2,52.288,0.0693318976,0.1156508829,0.0080064803,0.0544842249,0.0068411924,0.0,0.0,1317723505.587171,1253780.6903778983,0.0,0.0,0.0,0.0,1577,812,0.3398911679,526,522,0,4,0.2201758058,0.218501465,0.0,4,0.0016743407
